author,autism,coords_from,country,id,label,lang,location,measl,mood,mump,published_at,response_id,retweeted_id,state,text,vaccin,vax,vaxin,x,y,zip
chrisbeanie1 (Chris B.),0,location,us,562269975369351168,1,en,New Jersey ,0,0,0,2015-02-02 15:23:03 UTC,,562250764408877056,nj,"RT @ritholtz: STICK A FORK IN HIM, ITS OVER:  Christie Says Parents Should Have ‘Choice’ on Vaccinations   http://t.co/teX8BsXql8 SO MUCH S…",1,0,0,-74.726715,40.14323,
anthonyisherbon (Anthony I. Sherbondy),0,,,562277033917427713,1,en,,0,1,0,2015-02-02 15:51:06 UTC,,562268988210950144,,RT @proctor: American individualism MT @ellievhall Anti-vax dad cool with his kid fatally infecting others http://t.co/EYHmCjg8gH http://t.…,0,1,0,,,
L821L (Laurie),0,location,us,562287858502082560,0,en,Maryland,0,2,0,2015-02-02 16:34:06 UTC,,562284865530626049,md,"RT @NickKristof: Chris Christie wanted to quarantine those coming from Ebola countries, but shrugs at public health gains of vaccinations? …",1,0,0,-77.268219,38.817598,
newsparod (newsparody),0,,,562291142536876032,0,en,,0,0,0,2015-02-02 16:47:09 UTC,,,,-=- Fwd: Large Scale Trials Of Ebola Experimental Vaccine In Liberia http://t.co/wfKXRCEfig -=-,1,0,0,,,
PizzaGirl78 (Anna AB),0,,,562306787219480576,1,en,"Spectacular Los Angeles, CA",1,-2,0,2015-02-02 17:49:19 UTC,,562306538694389761,,RT @JonathanJewel: CDC warns of potential large measles outbreak while President Obama urges vaccination http://t.co/FqwWEvzmp1 via @dailyk…,1,0,0,,,
UnprofoundMusic (The Unprofound),0,location,us,562308174628519936,-1,en,"Ivanhoe, TX",0,-2,0,2015-02-02 17:54:50 UTC,,,tx,@CNN Vaccinatios are toxic and mostly with give you whatever the vaccine is for. Vaccines are a major heath risk.,1,0,0,-96.143184,33.713415,75447
thejenn999 (#StandWithIsrael),0,,,562318280111583233,1,en,Jenn Speaks at,0,-3,0,2015-02-02 18:35:00 UTC,,562302455229476864,,"RT @iowahawkblog: Also the result of letting conspiracy kooks call the shots. MT @anamariecox Anti-vax = ""let's run a pass play"" of parenti…",0,1,0,,,
JohnG405 (JG),0,location,us,562327919721074688,-1,en,California,0,-1,0,2015-02-02 19:13:18 UTC,,562327817736953856,ca,"RT @The405radio: Jerry Brown, Democrat, Anti-Vaxxer Patient Zero http://t.co/ebU1UGhfGI Religious Exemption?  No Documentation Required!!!",0,0,0,-119.270229,37.271875,
SharylAttkisson (Sharyl Attkisson),0,location,us,562759189953789953,-1,en,Washington D.C.,0,0,0,2015-02-03 23:47:01 UTC,562758299628883970,,dc,@JimW_in_NM @Cowboy__Country @TruckerBobS Oral polio vaccine occasionally gave babies polio! Govt. finally took it off the market. So THAT,1,0,0,-77.031959,38.89037,20004
HeyHeyMyMy22 (Chris Fassbender),0,location,us,562833914260361216,1,en,Earth,0,4,0,2015-02-04 04:43:56 UTC,562832945988513792,,tx,@NY_Patricia @Maggyw519 @SenRandPaul @DanielGennaoui Saw an amazing doc about #JonasSalk &amp; creation of the #Polio #vaccine.Changed the world,1,0,0,-102.410204,34.232945,79031
LVKen7 (LVKen7),0,location,us,562963220231913474,1,en,"Columbia, TN",1,3,0,2015-02-04 13:17:45 UTC,,,tn,"Murdoch to GOP - Measles vaccination OK. “Top GOP lawmakers backed vaccinating children, marking a shift in a debate sparked by the measles",1,0,0,-87.035447,35.615725,38401
lrjwtravel (LJ),0,location,us,562981406641770498,-1,en,So. California,0,0,0,2015-02-04 14:30:01 UTC,,562937453053759488,ca,RT @GeneticLiberal: Just remove the Mercury from vaccines!: https://t.co/AJ8QchXIlI #OWS #Obama @SMShow #maddow  #msnbc #morningjoe #cnn #c…,1,0,0,-119.270229,37.271875,
MsElleVictoria (The_ElleVictoria™),0,,,562991141474541569,1,en,somewhere... smiling ;-),0,4,0,2015-02-04 15:08:42 UTC,,562990483929309184,,"RT @CNN: The benefit of vaccines is not a matter of opinion, but a matter of fact, @drsanjaygupta says: http://t.co/CYJOKsC5q5 http://t.co/…",1,0,0,,,
AshleyWilder13 (Ashley Shanae Wilder),0,location,us,562995183902818305,1,en,Kentucky,0,0,0,2015-02-04 15:24:46 UTC,,562989434678038529,ky,RT @msnbc: How vaccinations may have opened up a new front in the GOP culture wars:  http://t.co/OWp0tFLiBY (John Locher/AP) http://t.co/vZ…,1,0,0,-85.69091,37.822445,
GenieMD (GenieMD®),0,location,us,563002166705926148,1,en,"San Francisco, CA",0,4,0,2015-02-04 15:52:31 UTC,,562990483929309184,ca,"RT @CNN: The benefit of vaccines is not a matter of opinion, but a matter of fact, @drsanjaygupta says: http://t.co/CYJOKsC5q5 http://t.co/…",1,0,0,-122.419644,37.777125,94102
VioletLilyLoves (Amye ),0,,,563011590539472899,1,en,,0,4,0,2015-02-04 16:29:58 UTC,,562990483929309184,,"RT @CNN: The benefit of vaccines is not a matter of opinion, but a matter of fact, @drsanjaygupta says: http://t.co/CYJOKsC5q5 http://t.co/…",1,0,0,,,
AussiBodySecret (AussieBodySecrets),0,location,us,563036885665452032,1,en,New York,0,0,0,2015-02-04 18:10:28 UTC,,,ny,5 myths surrounding vaccines -- and the reality - CNN http://t.co/0fvVsy24wE,1,0,0,-74.007124,40.71455,10007
m0whitt (Morgan Ellis),0,location,us,563082548507836417,1,en,Ohio.,0,-4,0,2015-02-04 21:11:55 UTC,,,oh,You vax your dog so it doesn't get sick because the vet says to. But won't vax your kid because a playboy playmate says don't. #confused,0,1,0,-82.669468,40.190331,
esmartme (eSmartMe),0,location,zz,563083120858374145,1,en,Digital World,0,0,0,2015-02-04 21:14:12 UTC,,,,A High Number Of California Child-Care Centers Have Low Vaccination Rates http://t.co/XV2g2lt5Qz,1,0,0,0.0,0.0,
LeighMelone (CC),0,,,563105794330460160,0,en,,0,1,0,2015-02-04 22:44:18 UTC,,563098135980158976,,RT @francosoup: Our resident immunologist @JennyMcCarthy wants your questions.   Please ask all your vaccine related questions using the #A…,1,0,0,,,
brianlilley (Brian Lilley),0,location,ca,563114805780049920,1,en,"Ottawa, Canada",0,0,0,2015-02-04 23:20:06 UTC,563103207287947265,,on,@lenmac1 @DanDelmar if you think I am anti-vaccine then you are not paying attention.,1,0,0,-75.691184,45.42178,k1p
vwvnfjy8 (Robena Bertrand),0,,,563115361462403073,0,en,,0,-4,0,2015-02-04 23:22:19 UTC,,,,#Entertainment Wall Street Journal Accuses Senator Rand Paul of ‘Joining the Santa Monica Left’ in Vaccination Fear http://t.co/kC0dtQkBCv,1,0,0,,,
jethomes (The Blight Fantastic),0,location,us,563120253635690496,-1,en,"Manchester, CT",0,0,0,2015-02-04 23:41:45 UTC,,563016706885713922,ct,"RT @theonlyadult: The anti vaccine crap was such a proud left fringe lunacy. Now the RW took even that. Thanks, Obama.",1,0,0,-72.520664,41.76857,06040
molonlabe71117 (MOLON LABE),1,,,563130765257768960,-1,en,,1,5,0,2015-02-05 00:23:31 UTC,,,,"@Dan_Flynn Measles Vaccine is Super Toxic, causes Autism, CONFIRMED by CDC Top Scientist - William Thompson http://t.co/0ntWCfwA0J",1,0,0,,,
SarahSherwoodPR (Sarah Sherwood),0,location,us,563131254292230146,0,en,San Francisco Bay Area,0,0,0,2015-02-05 00:25:28 UTC,,563121324009480192,ca,"RT @FenitN: California state lawmakers &amp; U.S. senators call for elimination of ""personal belief"" exemption from vaccines http://t.co/qXxTdC…",1,0,0,-122.370941,37.878695,
"kyduchess (No Justice, No Peace)",0,,,563143938148536320,0,en,,0,-2,0,2015-02-05 01:15:52 UTC,,563141813209292800,,"RT @JC_Christian: Chemtrailian plot! Mt @joesonka InfoWars commenter: Illuminati""spiked"" Rand Paul's vaccine""to make his election fail"" htt…",1,0,0,,,
ABrokenSystem_ (A Broken System Blog),0,,,563145690524942337,0,en,Read. Learn. Reform. ,0,-4,0,2015-02-05 01:22:50 UTC,,,,#RawStory Alex Jones defends Rand Paul’s vaccine statements by calling CNBC host ‘tramp’ and ‘whore’ http://t.co/ntuf1myQNG,1,0,0,,,
ReneeToccoDC (Renee Tocco Hunter),0,location,us,563147782253731840,1,en,"Charleston, SC",0,0,0,2015-02-05 01:31:08 UTC,,,sc,Parents who learn to late would give EVERYTHING they have to go back and make the right vaccine decision for... http://t.co/PEQ8e682YL,1,0,0,-79.931604,32.78115,29401
AVNSher (Sherri L. Shaulis),0,location,us,563154560382824448,1,en,Los Angeles,0,-11,0,2015-02-05 01:58:04 UTC,,562412130134024192,ca,"RT @Sherman_Alexie: Coming from a people nearly wiped out by disease, I say, ""Fuck you, you superstitious, selfish anti-vaccination asshole…",1,0,0,-118.245319,34.05349,90012
carrievacha (carrie vacha),0,,,563162635860848641,-1,en,,0,0,0,2015-02-05 02:30:10 UTC,,563160161435414528,,RT @jonrappoport: The entire childhood vaccination schedule is on the table. http://t.co/LgpIeBlaJ2 #CDCwhistleblower http://t.co/mj0uX2biqr,1,0,0,,,
JohnGalt36 (John Galt),0,location,us,563170636160180224,-1,en,Minnesota,0,1,0,2015-02-05 03:01:57 UTC,,563169365760045056,mn,RT @Tea_Alliance: Obama Admin Grants Immunity To CDC Scientist That Fudged Vaccine Report http://t.co/bOXyhdseDH  #CDC #whistleblower #vacc…,1,0,0,-93.365864,46.442316,
ellynews (#FollowBack 100%),0,location,zz,563175104432332800,0,ru,Europe,0,0,0,2015-02-05 03:19:42 UTC,,,,Anti-vaccine doctor under investigation,0,0,0,4.30165,54.322554,
MishaRockwell (Misha Rockwell),0,location,us,563176393454788608,1,en,Bumfuck Kansas,0,0,0,2015-02-05 03:24:50 UTC,,563155336908259330,ks,"RT @SmithsonianMag: Thomas Jefferson and Benjamin Franklin were early advocates for vaccination, with Jefferson even conducting trials http…",1,0,0,-98.320232,38.498091,
MaurerStats (Matthew Maurer),0,location,us,563177472632438784,0,en,"Rochester, MN",0,0,0,2015-02-05 03:29:07 UTC,,563162816191139841,mn,RT @nbferrara: Mayo Clinic plans trials for #BreastCancer vaccine http://t.co/wMuT6RsQj4 via @usatoday,1,0,0,-92.459849,44.01932,55904
247pk (Pras),0,,,563179321763061760,1,en,,1,-2,0,2015-02-05 03:36:28 UTC,,,,California Measles Outbreak Roils Vaccination Dispute A measles outbreak in California has now spread to 14 U.S. s… http://t.co/ZcKVkbj2pS,1,0,0,,,
LisaGenio19 (Lisa Genio),0,location,us,563182772165279745,1,en,Las Vegas,0,0,0,2015-02-05 03:50:10 UTC,,,nv,"Some Thoughts on the Vaccination Debate - by Nicholas Gonzalez, MD http://t.co/q9Tqe873ie",1,0,0,-115.139974,36.171915,89101
DennisKendel (Dennis Kendel),0,location,ca,563187944627134464,1,en,Saskatoon,0,0,0,2015-02-05 04:10:44 UTC,,,sk,Students raise concerns over Queen’s professor’s anti-vaccine teachings http://t.co/hqvPTQhnQk via @torontostar,1,0,0,-106.659314,52.130505,s7k
BiffLaTourette (Biff LaTourette),0,location,us,563195491932860416,1,en,"St. Louis, MO",0,-3,0,2015-02-05 04:40:43 UTC,,563071072317501440,mo,"RT @FriedrichHayek: The next pestilence unleashed by the anti-vaccine ""organic foods"" nuts jobs -- rabies:  http://t.co/Wys3YMETGN",1,0,0,-90.199514,38.62774,63103
stilettos7777 (StilettosAndStirrups),0,location,us,563200537873899520,1,en,"Hollywood, CA",0,0,0,2015-02-05 05:00:46 UTC,,,ca,"Females between the ages of 9 and 26:Do you want protection from cervical cancer &amp; genital warts?If so,ask your doctor about the HPV Vaccine",1,0,0,-118.337209,34.101555,90028
STTafelrunde (star-trek-tafelrunde),0,,,563210069874327552,1,de,Potsdam-Babelsberg,0,3,0,2015-02-05 05:38:39 UTC,,563138670757023746,,RT @trekcomic: Love the Trek Vaccination poster? Hi DPI version for printing: http://t.co/pDjjDEWoHz #StarTrek #vaccineswork #VaccinateYour…,0,0,0,,,
clonedmilkmen (Cloned Milkmen),0,location,ca,563210935452835840,1,en,Canada,0,0,0,2015-02-05 05:42:05 UTC,,563088188529704960,,"RT @CBCTechSci: Anti-vaccination instruction at Queen's needs review, students urge http://t.co/gwZJwDHrpp http://t.co/FZ1ZzEOSBP",1,0,0,-96.811451,62.395819,
abigailthesnail (abigail thesnail),0,,,563224870750654465,-1,en,"atlantis, gorgeous ",0,0,0,2015-02-05 06:37:28 UTC,,563191940800602112,,"RT @TeaPartyCat: Mike Huckabee: “I don’t think government should force kids to get vaccines their kids. Unless there’s a vaccine for gay, t…",1,0,0,,,
Oldlady12345 (Jean M. O'Brien ),0,,,563226815763070977,0,en,,0,1,0,2015-02-05 06:45:11 UTC,,,,Rand Paul Now Says He Shares Obama's Position On Vaccinations http://t.co/kl3O5xx8yB via @HuffPostPol,1,0,0,,,
slantpointnow (Slantpoint® Now),0,location,us,563236192280666112,1,en,"Indianapolis, IN",0,0,0,2015-02-05 07:22:27 UTC,,,in,HuffingtonPost: Here's what a Depression-era cartoonist had to say about the anti-vaccination movement … http://t.co/qudXnHXCxt,1,0,0,-86.149964,39.76691,46204
WorldHealthNews (World Health News),0,location,gb,563264532684873728,-1,en,UK,0,-3,0,2015-02-05 09:15:04 UTC,,,,(NaturalNews) While the media continues to spew emotionally charged tirades about how the anti-vaccination… http://t.co/WPnmPuTyAp,1,0,0,-5.822485,55.00839,
kwalma (Klaas Walma),0,location,ca,563296895075115009,1,en,"Dundas, Ontario, Canada",0,-2,0,2015-02-05 11:23:39 UTC,,563180225753018368,on,RT @NewYorker: “It’s much easier to scare people than it is to dispel fears.” @sethmnookin on talking to vaccine resisters: http://t.co/op7…,1,0,0,-79.95237,43.263771,
becksmd (RMD),0,location,ca,563301285622185985,1,en,"Toronto, Ontario",0,1,0,2015-02-05 11:41:06 UTC,,563183784254648321,on,"RT @kellyoxford: Showing an educated person an anti-vaccine website is like showing an archeologist a bible and saying, ""See, no dinosaurs.""",1,0,0,-79.385324,43.64856,m5h
catjkuhn (Cathey),0,,,563307656903815168,1,en,,0,0,0,2015-02-05 12:06:25 UTC,,,,"Mississippi, a Vaccination Leader, Stands by Its Strict Rules http://t.co/29yqutnEif",1,0,0,,,
UNHLawPubHealth (UNH PoliSci 6635),0,location,us,563310774789996548,1,en,"West Haven, CT",0,-3,0,2015-02-05 12:18:49 UTC,,562642885817147392,ct,RT @ddiamond: How to fight anti-vax trend?  • @BrendanNyhan: Teach them • @hiltzikm: Shame them  • @ArthurCaplan: Sue them  More: http://t.…,0,1,0,-72.950717,41.271948,06516
dlsgold (Deanna Goldstein),0,,,563319685249519617,1,en,,0,2,0,2015-02-05 12:54:13 UTC,,,,"CNN: 5 myths surrounding vaccines -- and the reality http://t.co/kELBrZOJBe; vaccines are important, for everyone.",1,0,0,,,
emmielouli (Emily Collins),0,location,gb,563329776094425088,-1,en,"Bermondsey, London",0,-4,0,2015-02-05 13:34:19 UTC,,,eng,"It's frustrating to see such a massive backlash against anti-vax parents specifically, and not so much the media that indoctrinate(d) them.",0,1,0,-0.0817,51.49762,se1
EMJReproHealth (EMJReproHealth),0,,,563337163958677504,1,en-gb,,0,3,0,2015-02-05 14:03:40 UTC,,563324931924963328,,RT @CDCSTD: #Clinicians: Do you or your patients have questions about #HPV vaccine? Great vax Q&amp;A here: http://t.co/RzCNzT9chz http://t.co/…,0,1,0,,,
davidSEIBEI (David SEIBEI),0,location,us,563351007468740608,1,en,"Charlottesville, VA",1,-3,0,2015-02-05 14:58:41 UTC,,563350646519504896,va,RT @konistehrad: “A child will die [as a result of anti-vax rhetoric]”. @sawbones gets real this week on the topic of Measles: http://t.co/…,0,1,0,-78.477529,38.03213,22902
Sermo (Sermo),0,location,us,563351595719860224,1,en,USA,0,0,0,2015-02-05 15:01:01 UTC,,,,Doctors go after a fellow MD for his anti-vaxx stand.  What do you think?  https://t.co/6lnW92Rqhv via @DrLindaMD,0,0,0,-98.58,39.83,
MadeInTaiwanYo (jenn),0,,,563353172534505473,0,en,,0,-3,0,2015-02-05 15:07:17 UTC,,562416681260027904,,RT @TheTweetOfGod: There's no vaccine against stupid.,1,0,0,,,
irishexaminer (Irish Examiner),0,location,ie,563353899306741760,0,en,Ireland,0,-2,0,2015-02-05 15:10:10 UTC,,,,Investigation after Tyrone schoolchildren injected with wrong vaccine | http://t.co/ylu2VoMevA (RMC) http://t.co/WcvpgLq1WF,1,0,0,-8.326615,53.430361,
schof (John Mark Schofield),0,location,us,563357509595852800,1,en,"Tarzana, CA, USA",0,-2,0,2015-02-05 15:24:31 UTC,,563094195372818433,ca,RT @munilass: Vaccination issue is really a subset of our culture's larger problem with recognizing and claiming expertise.,1,0,0,-118.550103,34.175291,91356
Sisil_sisy (Sisilia Alusinsing),0,location,id,563358653097312257,0,id,Indonesia,0,1,0,2015-02-05 15:29:04 UTC,,563358106957389824,,"RT @washingtonpost: California lawmakers want to get rid of the ""personal belief"" vaccination exemption http://t.co/Lt0q1evNVS",0,0,0,117.995819,-2.46456,
Vaccinizer (Vaccination Trends),0,,,563359091205357568,-1,en,,0,0,0,2015-02-05 15:30:48 UTC,,,,An #AngryFather’sGuide to the #MeaslesVaccine #vaccination http://t.co/NecGetEz7Q http://t.co/Jdfj7pmcfi,1,0,0,,,
Liberalibrarian (Liberalibrarian),0,location,us,563360486473756672,0,en,"Las Vegas, Nevada",0,1,0,2015-02-05 15:36:21 UTC,,563358106957389824,nv,"RT @washingtonpost: California lawmakers want to get rid of the ""personal belief"" vaccination exemption http://t.co/Lt0q1evNVS",1,0,0,-115.139974,36.171915,89101
AshleyNYR (Ashley™),0,location,us,563360551653212160,1,en,New York City,0,1,0,2015-02-05 15:36:36 UTC,,563356207050928129,ny,"RT @Mizzblueshirt: ""@LadySandersfarm: No wonder someone like Obama can get elected.  #vaccineswork http://t.co/cLw4WZd0gJ"" ☆ wait.. what???…",0,0,0,-74.007124,40.71455,10007
Musings_1 (Sage),0,,,563361122171244545,-1,en,,0,0,0,2015-02-05 15:38:52 UTC,,537017203187396609,,"RT @rockefellafilly: Mississippi has highest vax rate, highest infant morality rate and sickest children.  Wake up! #CDCwhistleblower http:…",0,1,0,,,
mission2heal (Christina Schmidt),0,location,us,563365799511879681,-1,en,US,0,0,0,2015-02-05 15:57:28 UTC,,563364031004545024,,RT @KMilkeraitis: @cathy_kerr @DrJudyStone @mission2heal @MaykeBriggs also after reading side effect paper in vax I choose not to. Now I'm …,0,1,0,-98.58,39.83,
MikeAndersonMD (Mike Anderson MD MBA),0,location,us,563369841113849857,1,en,Cleveland OH,1,0,0,2015-02-05 16:13:31 UTC,,562689615258464257,oh,RT @AmerAcadPeds: Measles not necessarily a mild illness. In some cases can cause serious complications. Important to vax! http://t.co/L1V8…,0,1,0,-81.690434,41.50438,44114
davidjbland (David J Bland),0,location,us,563372318383030272,1,en,"SF Bay Area, CA",0,0,0,2015-02-05 16:23:22 UTC,,561625231522295810,ca,"RT @SwiftOnSecurity: Anti-vaxx people should be required to run Windows XP and IE6. They can outsmart viruses, right?",0,0,0,-122.370941,37.878695,
ohiomail (Emil ),0,location,us,563379514760527872,0,en,New York,0,2,0,2015-02-05 16:51:58 UTC,,563378273246126081,ny,"RT @SayNoToGOP: YouGov poll: 67% of Republicans, 81% of Democrats support government vaccine mandates - Hot Air http://t.co/pYp1Tk5Wqw",1,0,0,-74.007124,40.71455,10007
MadhuNPatel (Madhu Patel),0,location,in,563380467831820289,1,en,Mumbai,0,0,0,2015-02-05 16:55:45 UTC,,,mh,Uff!! it caught ;-) California politicians urge repeal of 'opt out' provision of vaccination law - San... http://t.co/ZLf9MdyxbG #gossip,1,0,0,72.875877,19.076191,
dubmama4 (leslie whalen),1,,,563381620720545792,-1,en,,0,0,0,2015-02-05 17:00:20 UTC,,563372503498637312,,"RT @oneworldtweet: CDC Whistleblower Who Admitted Covering Up MMR Vaccine Links to Autism Granted Immunity, Will Testify http://t.co/k1kXBO…",1,0,0,,,
tlbuzzer (Timeline Buzzer),0,location,us,563384720856055810,0,en,Earth and beyond,0,0,0,2015-02-05 17:12:39 UTC,,,tx,Flu vaccine is 'barely effective' http://t.co/pFY3WcyQnm,1,0,0,-102.410202,34.232941,79031
HoneyBadger253 (Honey Badger),0,,,563386117521547264,-1,en,,0,1,0,2015-02-05 17:18:12 UTC,,563379277115424770,,"RT @Habakus: We the people say NO mandatory vaccination. If you agree, please sign and share https://t.co/34B4Kqneom #vaccinationchoice #cd…",1,0,0,,,
mschortye (Marty Sr.),0,location,us,563389655857782785,1,en,Philadelphia pa. ( Fishtown ),1,0,0,2015-02-05 17:32:15 UTC,,563302637198929921,pa,"RT @buffletimide: Me: Mom, I had the measles vaccine, right?  Mom: I have a boyfriend.",1,0,0,-75.13549,39.967232,19123
fiestypelican (Silverfig),0,location,us,563391006540713984,0,en,Midwestern United States,0,0,0,2015-02-05 17:37:37 UTC,,,,SCOTUS decides vaccine debate . . . in 1905 http://t.co/SdUJf4eKKb,1,0,0,-92.288197,42.644735,
I_am_WilI (will.i.am),0,location,us,563391867480707072,1,en,USA,0,-2,0,2015-02-05 17:41:03 UTC,,,,Low vaccination rates put students at risk - Monroe News Star: Low vaccination rates put students at riskMonro... http://t.co/KBP1Fko8nJ,1,0,0,-98.58,39.83,
FlickVelia (Velia Flick),0,,,563393570867269632,1,en,,0,1,0,2015-02-05 17:47:49 UTC,,,,Adult vaccination rates in the US are pretty low http://t.co/CiX02eGFAJ,1,0,0,,,
SchultzTana (Tana Schultz ),0,,,563394548148482048,1,en,,0,-3,0,2015-02-05 17:51:42 UTC,,563377795326570496,,RT @Salon_Politics: GOP's newest stance on vaccines is even too nuts for Fox News http://t.co/HaU94TlHdS http://t.co/AYBUiVa4OV,1,0,0,,,
dutchindian (Farbrook),0,location,us,563396461711605761,-1,en,"Georgia, USA",0,-1,0,2015-02-05 17:59:18 UTC,,563395956792889344,ga,"RT @CuffyMeh: Thank you, Brian Williams, for killing Vaccine Twitter.",1,0,0,-83.22295,32.678275,
HealthINVA (HealthINVA),0,,,563397274395357184,1,en,,1,-1,0,2015-02-05 18:02:32 UTC,,,,Medical News Today: Are ongoing concerns about vaccine safety to blame for the measles epidemic?: This year lo... http://t.co/XJtU2ypvue,1,0,0,,,
ceestave (ceestave),0,,,563397609109196801,-1,en,,0,0,0,2015-02-05 18:03:52 UTC,,563160511156482048,,RT @Mofmars333: Glenn Beck wants left &amp; right 2 come together on Vax Says he's done the research. #CDCwhistleblower... http://t.co/5JC4BqFo…,0,1,0,,,
KaylieBeth (Kaylie),0,coords,ca,563399560413073408,1,en,Halifax ,0,-4,0,2015-02-05 18:11:37 UTC,,,new brunswick,I strongly believe in vaccination but I can only imagine how it feels to see all these people blaming parents for the death of their child,1,0,0,-64.37697,45.894051,
shadesofzero (Josh Levinson),0,location,us,563412240800288768,1,en,"New Haven, CT",1,5,0,2015-02-05 19:02:00 UTC,,,ct,"Welcome back, measles! How the anti-vaxx movement made measles cool again. Party like it's 1948! http://t.co/W8HKJneq7f",0,0,0,-72.924979,41.30713,06510
anyalhas (Annyah L Hasler),0,location,us,563418548593106944,1,en,"Philadelphia, U.S.A.",1,0,0,2015-02-05 19:27:04 UTC,,562688173013471233,ms,RT @SenFallon2016: #GOP now pro-choice when it comes to life saving vaccinations; women's right to control own bodies? Not so much. #Measle…,1,0,0,-89.117744,32.771605,39350
"ac5jw (Raleigh Stout, AC5JW)",0,location,us,563424910039875584,1,en,"Greensboro, NC",1,-2,0,2015-02-05 19:52:21 UTC,,,nc,Video California Measles Outbreak Roils Vaccination Disputes http://t.co/RdHwTyk4Aw,1,0,0,-79.794704,36.068994,27401
